PID,CustomerID,Method,Charge,Balance,PaymentDate,DueDate
382,236,"2",145,187,2005-02-27 00:00:00,2005-02-19 00:00:00
383,219,"4",345,345,2006-01-19 00:00:00,2005-12-17 00:00:00
384,38,"2",272,318,2006-11-14 00:00:00,2006-10-25 00:00:00
385,49,"2",105,493,2005-09-02 00:00:00,2005-07-29 00:00:00
386,39,"2",150,319,2005-04-08 00:00:00,2005-04-30 00:00:00
387,236,"3",204,246,2006-07-27 00:00:00,2006-06-07 00:00:00
388,33,"2",74,74,2005-09-30 00:00:00,2005-08-09 00:00:00
389,168,"3",164,501,2005-10-19 00:00:00,2005-10-17 00:00:00
390,70,"2",330,330,2006-06-17 00:00:00,2006-05-25 00:00:00
391,130,"cred",250,250,2006-07-13 00:00:00,2006-06-07 00:00:00
392,34,"cred",70,287,2006-05-27 00:00:00,2006-04-23 00:00:00
393,38,"cred",147,147,2006-01-21 00:00:00,2005-12-30 00:00:00
394,93,"4",323,754,2005-09-17 00:00:00,2005-09-24 00:00:00
395,242,"2",95,242,2005-05-04 00:00:00,2005-05-10 00:00:00
396,60,"cred",287,287,2005-09-03 00:00:00,2005-09-03 00:00:00
397,217,"cred",207,505,2005-03-27 00:00:00,2005-03-08 00:00:00
398,146,"4",61,322,2005-02-27 00:00:00,2005-01-29 00:00:00
399,181,"4",238,238,2005-02-22 00:00:00,2005-03-06 00:00:00
400,48,"cred",290,290,2006-10-29 00:00:00,2006-09-25 00:00:00
401,184,"4",153,291,2005-10-03 00:00:00,2005-08-23 00:00:00
402,235,"4",60,471,2006-12-03 00:00:00,2006-11-10 00:00:00
403,22,"4",88,349,2006-10-17 00:00:00,2006-10-02 00:00:00
404,55,"cred",71,275,2005-06-02 00:00:00,2005-05-09 00:00:00
405,10,"cred",293,293,2005-12-28 00:00:00,2005-12-12 00:00:00
406,177,"cred",194,641,2005-05-13 00:00:00,2005-04-13 00:00:00
407,92,"cred",263,706,2005-09-24 00:00:00,2005-08-23 00:00:00
408,143,"3",172,172,2005-06-13 00:00:00,2005-05-28 00:00:00
409,255,"4",297,561,2006-12-03 00:00:00,2006-11-07 00:00:00
410,238,"3",99,486,2005-12-07 00:00:00,2005-11-14 00:00:00
411,68,"2",221,325,2006-12-14 00:00:00,2006-12-03 00:00:00
412,143,"4",353,353,2006-02-06 00:00:00,2006-01-06 00:00:00
413,229,"3",72,314,2006-04-20 00:00:00,2006-05-10 00:00:00
414,1,"4",158,354,2006-10-10 00:00:00,2006-09-29 00:00:00
415,212,"3",85,287,2005-10-11 00:00:00,2005-09-24 00:00:00
416,5,"2",181,222,2005-05-07 00:00:00,2005-05-17 00:00:00
417,152,"2",232,232,,
418,227,"cred",287,297,2005-10-06 00:00:00,2005-08-26 00:00:00
419,88,"cred",96,96,2006-04-09 00:00:00,2006-04-25 00:00:00
420,208,"4",109,109,2006-06-10 00:00:00,2006-04-25 00:00:00
421,216,"4",212,212,2005-03-24 00:00:00,2005-03-27 00:00:00
422,115,"cred",149,314,2006-11-23 00:00:00,2006-11-07 00:00:00
423,183,"2",303,303,2006-11-06 00:00:00,2006-10-07 00:00:00
424,142,"2",158,392,2006-06-24 00:00:00,2006-05-19 00:00:00
425,166,"3",339,339,2005-05-03 00:00:00,2005-04-08 00:00:00
426,223,"cred",71,172,2006-11-11 00:00:00,2006-09-20 00:00:00
427,158,"3",227,227,2005-04-08 00:00:00,2005-04-04 00:00:00
428,1,"cred",69,75,2005-10-07 00:00:00,2005-09-07 00:00:00
429,103,"2",74,74,2006-08-23 00:00:00,2006-08-08 00:00:00
430,233,"4",238,238,2005-06-16 00:00:00,2005-05-22 00:00:00
431,13,"3",328,546,2005-07-05 00:00:00,2005-05-26 00:00:00
432,37,"3",176,366,2006-09-11 00:00:00,2006-07-28 00:00:00
433,118,"cred",82,193,2006-09-07 00:00:00,2006-08-07 00:00:00
434,99,"cred",290,290,2005-06-01 00:00:00,2005-05-01 00:00:00
435,253,"2",313,464,,
436,213,"4",211,665,2005-02-10 00:00:00,2005-01-20 00:00:00
437,48,"cred",70,83,2005-12-29 00:00:00,2005-12-06 00:00:00
438,41,"cred",319,402,2006-02-16 00:00:00,2006-02-13 00:00:00
439,37,"3",273,273,2005-02-23 00:00:00,2005-03-05 00:00:00
440,162,"cred",63,260,2006-07-09 00:00:00,2006-06-08 00:00:00
441,231,"cred",221,483,2006-12-16 00:00:00,2007-01-05 00:00:00
442,126,"cred",342,708,2005-02-09 00:00:00,2005-01-16 00:00:00
443,44,"3",125,125,2005-08-09 00:00:00,2005-07-26 00:00:00
444,67,"cred",240,240,2005-10-24 00:00:00,2005-09-02 00:00:00
445,244,"cred",337,337,2006-05-12 00:00:00,2006-06-05 00:00:00
446,45,"cred",136,149,2005-05-21 00:00:00,2005-05-17 00:00:00
447,120,"2",151,151,2005-01-21 00:00:00,2005-01-11 00:00:00
448,150,"cred",330,754,2006-09-02 00:00:00,2006-07-08 00:00:00
449,90,"cred",94,196,,
450,95,"3",345,345,2005-02-01 00:00:00,2005-02-25 00:00:00
451,90,"cred",181,181,2006-05-10 00:00:00,2006-03-20 00:00:00
452,1,"cred",205,577,2006-01-03 00:00:00,2005-12-11 00:00:00
453,5,"4",304,509,2006-01-16 00:00:00,2005-12-02 00:00:00
454,222,"3",330,330,2005-06-17 00:00:00,2005-06-29 00:00:00
455,35,"4",166,271,2005-08-30 00:00:00,2005-08-27 00:00:00
456,24,"3",294,379,2006-04-23 00:00:00,2006-03-25 00:00:00
457,179,"3",103,103,2006-12-13 00:00:00,2006-12-09 00:00:00
458,208,"2",106,106,2005-11-16 00:00:00,2005-09-29 00:00:00
459,86,"2",143,143,2006-07-17 00:00:00,2006-07-13 00:00:00
460,212,"2",108,108,2006-12-28 00:00:00,2006-12-05 00:00:00
461,159,"2",313,630,2006-09-02 00:00:00,2006-07-19 00:00:00
462,131,"cred",220,453,2005-06-13 00:00:00,2005-07-02 00:00:00
463,25,"4",314,314,2006-07-17 00:00:00,2006-07-12 00:00:00
464,147,"2",256,694,2005-12-09 00:00:00,2005-11-21 00:00:00
465,142,"2",261,561,2006-06-16 00:00:00,2006-06-04 00:00:00
466,66,"3",125,265,2005-03-26 00:00:00,2005-03-08 00:00:00
467,219,"2",294,294,2006-02-18 00:00:00,2006-02-10 00:00:00
468,175,"2",67,276,2005-10-18 00:00:00,2005-09-19 00:00:00
469,173,"cred",76,76,2005-03-06 00:00:00,2005-02-26 00:00:00
470,9,"2",326,326,2006-02-24 00:00:00,2006-02-13 00:00:00
471,196,"3",114,114,2006-07-27 00:00:00,2006-06-30 00:00:00
472,247,"cred",319,449,2006-04-11 00:00:00,2006-03-18 00:00:00
473,157,"2",235,613,2005-09-08 00:00:00,2005-08-02 00:00:00
474,48,"2",223,223,2006-03-07 00:00:00,2006-03-20 00:00:00
475,188,"cred",127,127,2005-12-09 00:00:00,2005-11-26 00:00:00
476,88,"cred",212,477,2005-12-19 00:00:00,2005-11-24 00:00:00
477,145,"4",347,347,2006-09-02 00:00:00,2006-08-07 00:00:00
478,59,"3",191,344,2005-06-04 00:00:00,2005-06-10 00:00:00
479,196,"cred",230,230,2005-10-30 00:00:00,2005-10-21 00:00:00
480,223,"cred",114,201,2005-06-04 00:00:00,2005-06-11 00:00:00
481,153,"4",334,334,2006-06-03 00:00:00,2006-05-31 00:00:00
482,91,"cred",159,159,2006-12-06 00:00:00,2006-12-19 00:00:00
483,154,"4",255,255,2006-09-20 00:00:00,2006-09-05 00:00:00
484,106,"4",135,227,2006-09-26 00:00:00,2006-09-23 00:00:00
485,106,"2",127,338,2005-12-31 00:00:00,2005-11-09 00:00:00
486,166,"3",290,557,2006-06-11 00:00:00,2006-05-12 00:00:00
487,177,"2",138,138,2006-02-18 00:00:00,2006-02-17 00:00:00
488,201,"2",150,150,2006-10-28 00:00:00,2006-10-13 00:00:00
489,224,"2",139,268,2006-02-21 00:00:00,2006-01-05 00:00:00
490,74,"3",243,683,2006-12-17 00:00:00,2006-12-23 00:00:00
491,105,"2",267,267,2005-11-02 00:00:00,2005-10-29 00:00:00
492,129,"3",325,325,2006-01-09 00:00:00,2005-12-11 00:00:00
493,102,"2",187,635,2005-06-01 00:00:00,2005-05-05 00:00:00
494,90,"4",316,338,2005-11-27 00:00:00,2005-11-07 00:00:00
495,240,"2",91,91,2006-03-05 00:00:00,2006-01-16 00:00:00
496,243,"2",132,132,2005-03-05 00:00:00,2005-02-01 00:00:00
497,102,"3",155,408,2006-08-22 00:00:00,2006-08-01 00:00:00
498,215,"4",98,374,2005-01-21 00:00:00,2004-12-02 00:00:00
499,107,"3",204,229,2005-08-17 00:00:00,2005-07-24 00:00:00
500,187,"2",194,351,2006-01-17 00:00:00,2006-02-12 00:00:00
501,124,"3",179,179,2005-01-14 00:00:00,2005-02-08 00:00:00
502,49,"1",90,165,2006-02-23 00:00:00,2006-03-14 00:00:00
503,106,"1",77,77,2006-10-16 00:00:00,2006-09-11 00:00:00
504,3,"4",206,340,2005-07-21 00:00:00,2005-07-04 00:00:00
505,41,"3",196,196,2006-03-22 00:00:00,2006-02-13 00:00:00
506,39,"3",179,529,2006-07-09 00:00:00,2006-06-25 00:00:00
507,62,"1",180,180,2005-12-14 00:00:00,2005-11-05 00:00:00
508,185,"1",107,577,2005-11-28 00:00:00,2005-11-28 00:00:00
509,234,"3",302,302,2005-02-21 00:00:00,2005-01-19 00:00:00
510,111,"3",214,214,2006-06-24 00:00:00,2006-06-23 00:00:00
511,174,"PPS",322,514,2006-05-23 00:00:00,2006-05-31 00:00:00
512,208,"4",61,560,2006-01-27 00:00:00,2006-01-03 00:00:00
513,169,"1",229,229,2005-02-03 00:00:00,2005-01-26 00:00:00
514,120,"1",145,145,2005-10-14 00:00:00,2005-09-17 00:00:00
515,74,"PPS",319,518,2005-10-30 00:00:00,2005-10-24 00:00:00
516,224,"4",256,256,2006-12-29 00:00:00,2007-01-02 00:00:00
517,138,"1",86,151,2006-12-21 00:00:00,2006-12-03 00:00:00
518,86,"4",75,163,2006-10-14 00:00:00,2006-09-28 00:00:00
519,256,"3",232,399,2006-10-01 00:00:00,2006-08-23 00:00:00
520,39,"4",307,307,2005-01-01 00:00:00,2004-12-24 00:00:00
521,172,"3",91,91,2006-11-21 00:00:00,2006-11-15 00:00:00
522,45,"PPS",303,303,2006-10-23 00:00:00,2006-09-09 00:00:00
523,165,"4",242,242,2006-06-25 00:00:00,2006-07-07 00:00:00
524,151,"1",84,318,2006-05-18 00:00:00,2006-03-31 00:00:00
525,42,"3",234,234,2006-12-27 00:00:00,2006-11-25 00:00:00
526,139,"4",151,392,2005-02-02 00:00:00,2005-02-19 00:00:00
527,34,"1",119,119,2005-01-17 00:00:00,2004-12-08 00:00:00
528,65,"3",208,208,2006-09-06 00:00:00,2006-08-09 00:00:00
529,81,"1",300,300,2005-05-21 00:00:00,2005-05-09 00:00:00
530,117,"4",161,161,2006-07-31 00:00:00,2006-07-09 00:00:00
531,25,"1",295,746,2005-03-14 00:00:00,2005-02-03 00:00:00
532,221,"3",210,464,2006-02-03 00:00:00,2006-01-10 00:00:00
533,155,"4",126,126,2006-11-15 00:00:00,2006-09-27 00:00:00
534,235,"1",89,89,2006-02-19 00:00:00,2006-01-26 00:00:00
535,127,"PPS",154,290,2006-08-31 00:00:00,2006-08-21 00:00:00
536,247,"PPS",278,563,2006-10-02 00:00:00,2006-09-22 00:00:00
537,173,"1",70,70,2005-12-08 00:00:00,2005-11-15 00:00:00
538,223,"3",229,229,2006-07-06 00:00:00,2006-05-15 00:00:00
539,53,"1",150,185,2006-07-01 00:00:00,2006-06-05 00:00:00
540,68,"PPS",274,586,2005-12-09 00:00:00,2005-11-24 00:00:00
541,31,"1",138,188,2006-11-04 00:00:00,2006-09-24 00:00:00
542,145,"3",103,103,2006-04-28 00:00:00,2006-03-20 00:00:00
543,96,"3",159,159,2005-09-30 00:00:00,2005-08-08 00:00:00
544,132,"1",120,120,2006-10-24 00:00:00,2006-09-17 00:00:00
545,14,"3",332,736,2006-02-10 00:00:00,2006-01-27 00:00:00
546,5,"4",166,166,2005-05-30 00:00:00,2005-05-19 00:00:00
547,119,"3",174,174,,
548,206,"PPS",200,200,2006-10-31 00:00:00,2006-11-02 00:00:00
549,254,"1",297,502,2006-09-28 00:00:00,2006-08-21 00:00:00
550,27,"1",266,266,2006-11-17 00:00:00,2006-11-26 00:00:00
551,31,"4",184,618,2006-07-22 00:00:00,2006-07-07 00:00:00
552,63,"3",319,319,2005-03-03 00:00:00,2005-01-26 00:00:00
553,225,"1",118,600,2005-04-19 00:00:00,2005-03-31 00:00:00
554,97,"4",326,326,2005-08-11 00:00:00,2005-07-20 00:00:00
555,23,"3",103,530,2005-12-29 00:00:00,2006-01-13 00:00:00
556,77,"PPS",92,92,2005-10-10 00:00:00,2005-08-16 00:00:00
557,138,"1",355,502,2006-07-14 00:00:00,2006-06-24 00:00:00
558,42,"1",313,791,2005-10-28 00:00:00,2005-09-03 00:00:00
559,212,"PPS",76,403,2005-09-12 00:00:00,2005-09-24 00:00:00
560,225,"PPS",91,305,2006-09-01 00:00:00,2006-09-14 00:00:00
561,99,"3",241,278,2005-06-26 00:00:00,2005-06-24 00:00:00
562,88,"PPS",122,122,2005-02-03 00:00:00,2005-02-14 00:00:00
563,226,"1",243,243,2006-12-10 00:00:00,2006-11-04 00:00:00
564,235,"3",349,602,2005-04-25 00:00:00,2005-03-24 00:00:00
565,183,"3",180,180,2006-12-10 00:00:00,2006-11-27 00:00:00
566,89,"3",172,172,2006-09-08 00:00:00,2006-08-10 00:00:00
567,143,"PPS",326,690,2005-04-09 00:00:00,2005-03-31 00:00:00
568,149,"3",298,397,2006-11-27 00:00:00,2006-11-07 00:00:00
569,119,"4",66,465,2005-02-01 00:00:00,2005-01-25 00:00:00
570,100,"4",197,480,2006-03-03 00:00:00,2006-02-18 00:00:00
571,20,"3",176,458,2005-08-29 00:00:00,2005-08-15 00:00:00
572,117,"3",114,114,2005-08-10 00:00:00,2005-08-21 00:00:00
573,11,"4",231,668,2006-01-05 00:00:00,2005-12-07 00:00:00
574,119,"PPS",72,115,2005-04-02 00:00:00,2005-03-27 00:00:00
575,218,"3",278,599,2006-01-21 00:00:00,2006-01-01 00:00:00
576,98,"4",83,83,2005-03-22 00:00:00,2005-03-15 00:00:00
577,121,"4",306,452,2005-09-27 00:00:00,2005-09-06 00:00:00
578,41,"1",166,166,2005-04-07 00:00:00,2005-02-25 00:00:00
579,205,"3",202,621,2005-06-05 00:00:00,2005-05-28 00:00:00
580,2,"PPS",171,171,2005-07-05 00:00:00,2005-06-13 00:00:00
581,229,"PPS",96,96,2005-08-18 00:00:00,2005-08-20 00:00:00
582,213,"4",168,168,2005-02-19 00:00:00,2005-03-10 00:00:00
583,139,"4",205,205,2005-11-19 00:00:00,2005-11-05 00:00:00
584,119,"PPS",213,213,2005-07-06 00:00:00,2005-05-18 00:00:00
585,153,"PPS",305,510,2005-10-28 00:00:00,2005-09-27 00:00:00
586,106,"3",281,733,,
587,186,"4",150,150,2005-08-29 00:00:00,2005-09-10 00:00:00
588,90,"3",345,345,2005-07-19 00:00:00,2005-07-26 00:00:00
589,144,"1",294,294,2006-11-20 00:00:00,2006-11-29 00:00:00
590,43,"1",210,506,2006-04-02 00:00:00,2006-03-12 00:00:00
591,2,"3",241,241,2006-03-14 00:00:00,2006-02-12 00:00:00
592,215,"4",98,98,2005-10-03 00:00:00,2005-09-05 00:00:00
593,40,"4",319,563,2005-04-12 00:00:00,2005-03-24 00:00:00
594,146,"1",274,274,2005-08-12 00:00:00,2005-07-28 00:00:00
595,243,"1",103,103,2006-10-08 00:00:00,2006-09-17 00:00:00
596,247,"4",70,196,2005-01-15 00:00:00,2004-12-15 00:00:00
597,220,"PPS",110,185,2006-01-11 00:00:00,2005-12-02 00:00:00
598,156,"3",74,305,2005-04-19 00:00:00,2005-04-14 00:00:00
599,171,"4",123,530,2006-02-12 00:00:00,2006-01-22 00:00:00
600,6,"1",142,142,2005-05-25 00:00:00,2005-05-30 00:00:00
601,16,"PPS",307,452,2005-04-29 00:00:00,2005-04-05 00:00:00
602,186,"4",258,462,2005-04-05 00:00:00,2005-03-28 00:00:00
603,165,"PPS",250,250,2005-06-01 00:00:00,2005-06-01 00:00:00
604,190,"3",162,636,2006-01-11 00:00:00,2005-12-03 00:00:00
605,217,"PPS",151,363,2006-06-29 00:00:00,2006-05-23 00:00:00
606,249,"PPS",157,157,2005-03-23 00:00:00,2005-03-20 00:00:00
607,146,"1",196,196,2005-04-19 00:00:00,2005-04-14 00:00:00
608,242,"4",106,399,2005-11-28 00:00:00,2005-10-18 00:00:00
609,174,"4",80,566,2005-09-17 00:00:00,2005-08-27 00:00:00
610,190,"4",222,222,2005-07-03 00:00:00,2005-06-25 00:00:00
611,73,"3",148,148,2006-01-17 00:00:00,2005-12-22 00:00:00
612,113,"4",90,264,2005-02-23 00:00:00,2005-01-21 00:00:00
613,150,"1",109,109,2006-02-28 00:00:00,2006-02-23 00:00:00
614,96,"1",251,670,2005-11-07 00:00:00,2005-10-21 00:00:00
615,54,"3",193,193,2006-05-15 00:00:00,2006-05-31 00:00:00
616,229,"1",224,224,2006-02-17 00:00:00,2006-01-22 00:00:00
617,112,"1",252,252,2005-10-22 00:00:00,2005-09-17 00:00:00
618,6,"PPS",154,154,2006-06-18 00:00:00,2006-05-20 00:00:00
619,109,"1",297,297,2006-10-08 00:00:00,2006-09-03 00:00:00
620,136,"3",301,537,2006-07-22 00:00:00,2006-07-04 00:00:00
621,221,"4",312,312,2006-09-03 00:00:00,2006-08-07 00:00:00
622,211,"3",277,658,2005-10-09 00:00:00,2005-10-24 00:00:00
623,100,"3",309,309,2005-06-19 00:00:00,2005-05-26 00:00:00
624,35,"1",318,318,2005-11-04 00:00:00,2005-10-07 00:00:00
625,156,"3",355,355,2005-11-20 00:00:00,2005-10-27 00:00:00
626,81,"4",316,768,2006-12-10 00:00:00,2006-12-06 00:00:00
627,229,"PPS",197,197,2006-05-16 00:00:00,2006-04-07 00:00:00
628,118,"1",351,351,2006-04-04 00:00:00,2006-02-19 00:00:00
629,118,"4",178,178,2005-10-27 00:00:00,2005-09-19 00:00:00
630,86,"1",227,365,2005-11-20 00:00:00,2005-11-04 00:00:00
631,4,"PPS",142,142,2005-04-30 00:00:00,2005-04-16 00:00:00
632,28,"3",217,217,2005-07-06 00:00:00,2005-05-17 00:00:00
633,9,"4",254,408,2005-09-29 00:00:00,2005-08-25 00:00:00
634,213,"3",194,194,2006-03-17 00:00:00,2006-02-21 00:00:00
635,50,"4",99,99,2006-08-02 00:00:00,2006-07-09 00:00:00
636,128,"PPS",96,558,2006-07-09 00:00:00,2006-07-26 00:00:00
637,167,"4",309,309,2006-10-31 00:00:00,2006-11-02 00:00:00
638,147,"1",273,273,2006-05-14 00:00:00,2006-05-17 00:00:00
639,246,"3",232,421,2006-07-23 00:00:00,2006-07-28 00:00:00
640,59,"3",291,491,2006-05-12 00:00:00,2006-04-12 00:00:00
641,225,"1",272,272,2005-05-23 00:00:00,2005-05-27 00:00:00
642,154,"1",300,402,2005-04-24 00:00:00,2005-04-11 00:00:00
643,121,"1",84,568,2006-12-23 00:00:00,2006-12-08 00:00:00
644,8,"3",62,543,2006-04-01 00:00:00,2006-04-05 00:00:00
645,110,"PPS",79,403,2005-05-14 00:00:00,2005-05-10 00:00:00
646,220,"PPS",288,516,2005-07-06 00:00:00,2005-06-04 00:00:00
647,256,"4",324,324,2005-11-29 00:00:00,2005-10-18 00:00:00
648,10,"4",71,71,2005-06-11 00:00:00,2005-06-22 00:00:00
649,256,"1",139,139,2005-11-03 00:00:00,2005-11-06 00:00:00
650,228,"1",188,323,2005-10-09 00:00:00,2005-10-06 00:00:00
651,250,"4",144,174,2006-07-26 00:00:00,2006-06-27 00:00:00
652,213,"PPS",279,279,2006-07-10 00:00:00,2006-07-04 00:00:00
653,93,"PPS",210,210,2006-03-25 00:00:00,2006-04-08 00:00:00
654,216,"1",234,334,2006-10-13 00:00:00,2006-10-02 00:00:00
655,182,"4",340,711,2005-08-22 00:00:00,2005-07-13 00:00:00
656,13,"4",317,530,2006-02-08 00:00:00,2006-02-21 00:00:00
657,240,"PPS",117,418,2006-06-21 00:00:00,2006-05-29 00:00:00
658,10,"1",71,150,2005-08-14 00:00:00,2005-08-25 00:00:00
659,58,"1",338,338,2006-01-20 00:00:00,2006-01-06 00:00:00
660,243,"3",294,452,2006-05-04 00:00:00,2006-05-06 00:00:00
661,233,"1",344,595,2006-07-04 00:00:00,2006-06-12 00:00:00
662,211,"3",75,117,2006-10-29 00:00:00,2006-09-29 00:00:00
663,202,"1",359,734,2005-03-23 00:00:00,2005-02-25 00:00:00
664,198,"1",82,82,2006-04-04 00:00:00,2006-04-16 00:00:00
665,95,"PPS",280,280,2006-09-05 00:00:00,2006-09-18 00:00:00
666,6,"1",207,207,2005-04-15 00:00:00,2005-03-23 00:00:00
667,102,"1",70,70,2005-06-01 00:00:00,2005-05-20 00:00:00
668,230,"4",148,148,2005-07-16 00:00:00,2005-07-16 00:00:00
669,133,"3",344,662,2006-06-23 00:00:00,2006-05-19 00:00:00
670,42,"1",278,278,2006-02-10 00:00:00,2006-01-07 00:00:00
671,201,"PPS",341,341,2006-05-14 00:00:00,2006-04-25 00:00:00
672,112,"3",177,177,2005-06-17 00:00:00,2005-06-12 00:00:00
673,98,"3",327,327,2005-07-21 00:00:00,2005-07-20 00:00:00
674,106,"PPS",107,436,2005-01-12 00:00:00,2005-01-03 00:00:00
675,80,"1",126,126,2005-05-10 00:00:00,2005-04-22 00:00:00
676,118,"1",134,564,2005-03-20 00:00:00,2005-03-20 00:00:00
677,51,"1",137,137,2005-07-13 00:00:00,2005-05-27 00:00:00
678,220,"4",76,511,2006-09-24 00:00:00,2006-08-23 00:00:00
679,142,"4",250,439,2006-07-09 00:00:00,2006-06-25 00:00:00
680,126,"1",333,333,2005-08-11 00:00:00,2005-08-06 00:00:00
681,237,"4",222,222,2006-06-30 00:00:00,2006-06-14 00:00:00
682,63,"1",346,420,2006-06-27 00:00:00,2006-05-17 00:00:00
683,120,"PPS",318,318,2006-10-22 00:00:00,2006-10-12 00:00:00
684,231,"4",102,187,2006-02-05 00:00:00,2006-01-14 00:00:00
685,182,"1",60,500,2005-06-15 00:00:00,2005-05-26 00:00:00
686,175,"4",355,816,2005-12-27 00:00:00,2005-12-28 00:00:00
687,236,"4",150,299,2005-11-07 00:00:00,2005-10-23 00:00:00
688,119,"4",201,201,2005-01-18 00:00:00,2004-12-23 00:00:00
689,160,"4",356,356,2005-02-01 00:00:00,2005-01-21 00:00:00
690,210,"3",318,318,2005-01-09 00:00:00,2004-12-07 00:00:00
691,42,"3",284,400,2006-07-25 00:00:00,2006-08-14 00:00:00
692,99,"3",80,80,2005-01-22 00:00:00,2004-12-26 00:00:00
693,36,"4",260,260,2006-12-21 00:00:00,2006-11-12 00:00:00
694,236,"4",78,214,2005-09-21 00:00:00,2005-08-30 00:00:00
695,24,"PPS",222,222,2006-03-28 00:00:00,2006-03-02 00:00:00
696,185,"PPS",239,239,2005-06-28 00:00:00,2005-06-19 00:00:00
697,34,"4",203,285,2005-02-20 00:00:00,2005-03-11 00:00:00
698,14,"1",133,133,2005-06-10 00:00:00,2005-05-12 00:00:00
699,93,"1",343,725,2006-05-29 00:00:00,2006-06-17 00:00:00
700,84,"2",77,77,2006-05-16 00:00:00,2006-04-24 00:00:00
701,83,"2",140,140,2005-08-01 00:00:00,2005-07-05 00:00:00
702,4,"2",203,203,2005-02-15 00:00:00,2005-01-15 00:00:00
703,35,"Cash",349,349,2005-08-17 00:00:00,2005-07-26 00:00:00
704,183,"1",69,69,2005-11-09 00:00:00,2005-11-25 00:00:00
705,112,"4",210,210,2006-03-07 00:00:00,2006-02-15 00:00:00
706,107,"4",330,330,2006-03-03 00:00:00,2006-01-26 00:00:00
707,85,"Cash",151,151,2005-06-07 00:00:00,2005-05-29 00:00:00
708,234,"4",71,144,2006-07-24 00:00:00,2006-07-08 00:00:00
709,74,"1",107,107,2005-06-27 00:00:00,2005-06-11 00:00:00
710,225,"1",342,342,2006-08-31 00:00:00,2006-07-17 00:00:00
711,170,"4",262,487,2005-09-12 00:00:00,2005-08-01 00:00:00
712,124,"4",320,320,2005-04-13 00:00:00,2005-03-08 00:00:00
713,139,"Cash",168,354,2006-03-14 00:00:00,2006-02-05 00:00:00
714,64,"Cash",155,155,2005-06-03 00:00:00,2005-05-17 00:00:00
715,122,"Cash",72,72,2006-03-19 00:00:00,2006-02-17 00:00:00
716,84,"2",299,581,2005-04-03 00:00:00,2005-02-15 00:00:00
717,243,"1",264,400,2005-03-03 00:00:00,2005-02-13 00:00:00
718,11,"Cash",264,303,2005-10-01 00:00:00,2005-08-28 00:00:00
719,86,"4",240,240,2005-04-13 00:00:00,2005-02-22 00:00:00
720,237,"2",172,172,2006-01-16 00:00:00,2006-02-06 00:00:00
721,110,"1",187,667,2006-02-11 00:00:00,2006-01-15 00:00:00
722,93,"Cash",93,93,2005-10-02 00:00:00,2005-10-07 00:00:00
723,160,"Cash",210,210,2006-02-12 00:00:00,2006-02-07 00:00:00
724,47,"4",122,122,2005-03-05 00:00:00,2005-01-14 00:00:00
725,226,"Cash",142,531,2006-01-22 00:00:00,2005-12-25 00:00:00
726,4,"4",96,96,2006-04-28 00:00:00,2006-04-20 00:00:00
727,49,"2",221,392,2005-12-01 00:00:00,2005-11-04 00:00:00
728,196,"2",64,165,2006-07-09 00:00:00,2006-06-28 00:00:00
729,109,"2",99,380,2006-09-07 00:00:00,2006-08-10 00:00:00
730,170,"2",328,328,,
731,68,"4",289,509,2006-03-09 00:00:00,2006-03-17 00:00:00
732,110,"2",230,541,2006-03-01 00:00:00,2006-03-07 00:00:00
733,154,"4",339,693,2005-06-19 00:00:00,2005-06-14 00:00:00
734,177,"Cash",300,743,2006-01-24 00:00:00,2006-01-14 00:00:00
735,29,"Cash",63,459,2006-02-23 00:00:00,2006-02-05 00:00:00
736,107,"1",115,115,,
737,198,"4",145,262,2006-10-10 00:00:00,2006-10-06 00:00:00
738,143,"4",219,647,,
739,197,"2",203,510,2006-07-15 00:00:00,2006-06-02 00:00:00
740,78,"Cash",245,245,2006-07-05 00:00:00,2006-06-29 00:00:00
741,80,"2",69,69,2006-12-12 00:00:00,2006-12-24 00:00:00
742,178,"1",285,285,2006-02-28 00:00:00,2006-02-08 00:00:00
743,195,"2",314,686,2005-07-03 00:00:00,2005-06-03 00:00:00
744,214,"Cash",69,69,2005-01-14 00:00:00,2005-01-06 00:00:00
745,134,"4",346,346,2005-01-21 00:00:00,2004-12-12 00:00:00
746,161,"1",269,344,2005-09-10 00:00:00,2005-08-02 00:00:00
747,126,"2",171,171,2006-02-26 00:00:00,2006-02-08 00:00:00
748,69,"1",296,518,2005-02-03 00:00:00,2005-01-26 00:00:00
749,235,"1",246,555,2006-12-11 00:00:00,2006-12-11 00:00:00
750,14,"Cash",135,135,2005-09-17 00:00:00,2005-08-30 00:00:00
751,62,"2",347,347,2005-02-09 00:00:00,2004-12-24 00:00:00
752,3,"2",140,369,2005-10-15 00:00:00,2005-08-18 00:00:00
753,209,"4",240,404,2005-11-19 00:00:00,2005-10-10 00:00:00
754,22,"1",197,256,2006-09-27 00:00:00,2006-10-02 00:00:00
755,212,"4",261,506,2006-03-06 00:00:00,2006-01-14 00:00:00
756,126,"1",243,446,2006-12-01 00:00:00,2006-11-24 00:00:00
757,245,"4",224,224,2006-06-24 00:00:00,2006-06-24 00:00:00
758,141,"Cash",327,327,2005-12-28 00:00:00,2005-11-30 00:00:00
759,154,"1",210,330,2006-02-22 00:00:00,2006-02-18 00:00:00
